Wallet_Address,Status,Feedback_Submitted
458f1244924b91f27757bcac1a72cf94b725ae657e0bd39433ea492df5b0f81e,Active,Yes
b5f808ab01877f625b63f4c590e2c52864392f910353d8ff969e64617eaa6487,Active,Yes
426ac4cb5583774fe680f6615797a9f546f2142ee915939244d331b1b63fbf27,Active,Yes
426ac4cb5583774fe680f6615797a9f546f2142ee915939244d331b1b63fbf27,Active,Yes
426ac4cb5583774fe680f6615797a9f546f2142ee915939244d331b1b63fbf27,Active,Yes
426ac4cb5583774fe680f6615797a9f546f2142ee915939244d331b1b63fbf27,Active,No
426ac4cb5583774fe680f6615797a9f546f2142ee915939244d331b1b63fbf27,Active,Yes
fa9ebfff8ca16e075806916d92cf24bf9dfcd4c4ab3916c7762d3f4b7abc755c,Active,Yes
fa9ebfff8ca16e075806916d92cf24bf9dfcd4c4ab3916c7762d3f4b7abc755c,Active,Yes
fa9ebfff8ca16e075806916d92cf24bf9dfcd4c4ab3916c7762d3f4b7abc755c,Active,Yes
fa9ebfff8ca16e075806916d92cf24bf9dfcd4c4ab3916c7762d3f4b7abc755c,Active,Yes
fa9ebfff8ca16e075806916d92cf24bf9dfcd4c4ab3916c7762d3f4b7abc755c,Active,Yes
fa9ebfff8ca16e075806916d92cf24bf9dfcd4c4ab3916c7762d3f4b7abc755c,Active,No
b3d3ba32c3bf65bfca8c2d7acd089f89f306945a6d5d98fda7874de53f392b90,Active,No
b3d3ba32c3bf65bfca8c2d7acd089f89f306945a6d5d98fda7874de53f392b90,Active,Yes
b3d3ba32c3bf65bfca8c2d7acd089f89f306945a6d5d98fda7874de53f392b90,Active,No
b3d3ba32c3bf65bfca8c2d7acd089f89f306945a6d5d98fda7874de53f392b90,Active,Yes
b3d3ba32c3bf65bfca8c2d7acd089f89f306945a6d5d98fda7874de53f392b90,Active,Yes
4044755217bb5dab55a92f1695bc8357d5bf79f7531e538f56bc1a3577ce8531,Active,Yes
4044755217bb5dab55a92f1695bc8357d5bf79f7531e538f56bc1a3577ce8531,Active,Yes
4044755217bb5dab55a92f1695bc8357d5bf79f7531e538f56bc1a3577ce8531,Active,Yes
4044755217bb5dab55a92f1695bc8357d5bf79f7531e538f56bc1a3577ce8531,Active,Yes
f87971864ed95463c72fcb22d0f5fe202bc9398d1542d6c5871627cf3b4b3b65,Active,No
f87971864ed95463c72fcb22d0f5fe202bc9398d1542d6c5871627cf3b4b3b65,Active,Yes
f87971864ed95463c72fcb22d0f5fe202bc9398d1542d6c5871627cf3b4b3b65,Active,No
f87971864ed95463c72fcb22d0f5fe202bc9398d1542d6c5871627cf3b4b3b65,Active,Yes
f87971864ed95463c72fcb22d0f5fe202bc9398d1542d6c5871627cf3b4b3b65,Active,No
f87971864ed95463c72fcb22d0f5fe202bc9398d1542d6c5871627cf3b4b3b65,Active,Yes
85eb2ca6a2d54c50524dcdbe97aae1ee0d821e2afb049057364bf42073e09606,Active,Yes
85eb2ca6a2d54c50524dcdbe97aae1ee0d821e2afb049057364bf42073e09606,Active,Yes
85eb2ca6a2d54c50524dcdbe97aae1ee0d821e2afb049057364bf42073e09606,Active,No
3d1f2dd9d9f34308c4d169cad0e25db85b8cdeb6bd28138667a5f6ba385d4c3a,Active,Yes
3d1f2dd9d9f34308c4d169cad0e25db85b8cdeb6bd28138667a5f6ba385d4c3a,Active,Yes
3d1f2dd9d9f34308c4d169cad0e25db85b8cdeb6bd28138667a5f6ba385d4c3a,Active,No
3d1f2dd9d9f34308c4d169cad0e25db85b8cdeb6bd28138667a5f6ba385d4c3a,Active,No
3d1f2dd9d9f34308c4d169cad0e25db85b8cdeb6bd28138667a5f6ba385d4c3a,Active,No
f654220d10113ac0365905d70d1ad882ba969f577f4c96c299001053fcda016e,Active,No
f654220d10113ac0365905d70d1ad882ba969f577f4c96c299001053fcda016e,Active,Yes
f654220d10113ac0365905d70d1ad882ba969f577f4c96c299001053fcda016e,Active,Yes
f654220d10113ac0365905d70d1ad882ba969f577f4c96c299001053fcda016e,Active,Yes
82c5de2d640d32acc1760772d4cfbb4f9b4f83f3650e50544734dda4346f5c0f,Active,No
3bfad9609b2b296433fca37f0f073719f259438a2732d38a798eea3ef9ec1244,Active,Yes
3bfad9609b2b296433fca37f0f073719f259438a2732d38a798eea3ef9ec1244,Active,Yes
3bfad9609b2b296433fca37f0f073719f259438a2732d38a798eea3ef9ec1244,Active,Yes
f32fd494d249201ca5823e8b4a40b2e349630420ea5556bfabe9f8d8bd68c878,Active,Yes
f32fd494d249201ca5823e8b4a40b2e349630420ea5556bfabe9f8d8bd68c878,Active,Yes
f32fd494d249201ca5823e8b4a40b2e349630420ea5556bfabe9f8d8bd68c878,Active,Yes
f32fd494d249201ca5823e8b4a40b2e349630420ea5556bfabe9f8d8bd68c878,Active,Yes
f32fd494d249201ca5823e8b4a40b2e349630420ea5556bfabe9f8d8bd68c878,Active,Yes
f32fd494d249201ca5823e8b4a40b2e349630420ea5556bfabe9f8d8bd68c878,Active,No
